scope,strategy,marketFrequency,maxChangesPerWindow,stopLossThreshold,takeProfitThreshold,numScenarios,avgROI,medianROI,bestROI,worstROI,volatility,pctAbove0,pctAbove7,pctAbove10,avgTrades,avgCommissions,avgPlatformRevenue,avgDeltaVsHold,overtradingRisk
completed,HOLD,7,5,-5,7,2,217.1967,217.1967,241.3061,193.0872,24.1095,100.0000,100.0000,100.0000,0.0000,2.1912,0.2191,0.0000,LOW
completed,HOLD,7,5,-5,10,2,217.1967,217.1967,241.3061,193.0872,24.1095,100.0000,100.0000,100.0000,0.0000,2.1912,0.2191,0.0000,LOW
completed,HOLD,7,5,-5,15,2,217.1967,217.1967,241.3061,193.0872,24.1095,100.0000,100.0000,100.0000,0.0000,2.1912,0.2191,0.0000,LOW
completed,HOLD,7,5,-10,7,2,217.1967,217.1967,241.3061,193.0872,24.1095,100.0000,100.0000,100.0000,0.0000,2.1912,0.2191,0.0000,LOW
completed,HOLD,7,5,-10,10,2,217.1967,217.1967,241.3061,193.0872,24.1095,100.0000,100.0000,100.0000,0.0000,2.1912,0.2191,0.0000,LOW
completed,HOLD,7,5,-10,15,2,217.1967,217.1967,241.3061,193.0872,24.1095,100.0000,100.0000,100.0000,0.0000,2.1912,0.2191,0.0000,LOW
completed,VALUE_ROTATION,3,1,-5,7,2,128.1638,128.1638,133.7344,122.5933,5.5705,100.0000,100.0000,100.0000,12.0000,4.1503,0.4150,-89.0328,LOW
completed,VALUE_ROTATION,3,1,-5,10,2,128.1638,128.1638,133.7344,122.5933,5.5705,100.0000,100.0000,100.0000,12.0000,4.1503,0.4150,-89.0328,LOW
completed,VALUE_ROTATION,3,1,-5,15,2,128.1638,128.1638,133.7344,122.5933,5.5705,100.0000,100.0000,100.0000,12.0000,4.1503,0.4150,-89.0328,LOW
completed,VALUE_ROTATION,3,1,-10,7,2,128.1638,128.1638,133.7344,122.5933,5.5705,100.0000,100.0000,100.0000,12.0000,4.1503,0.4150,-89.0328,LOW
completed,VALUE_ROTATION,3,1,-10,10,2,128.1638,128.1638,133.7344,122.5933,5.5705,100.0000,100.0000,100.0000,12.0000,4.1503,0.4150,-89.0328,LOW
completed,VALUE_ROTATION,3,1,-10,15,2,128.1638,128.1638,133.7344,122.5933,5.5705,100.0000,100.0000,100.0000,12.0000,4.1503,0.4150,-89.0328,LOW
completed,VALUE_ROTATION,3,3,-5,7,2,44.6379,44.6379,60.8063,28.4695,16.1684,100.0000,100.0000,100.0000,36.0000,9.4146,0.9415,-172.5588,HIGH
completed,VALUE_ROTATION,3,3,-5,10,2,44.6379,44.6379,60.8063,28.4695,16.1684,100.0000,100.0000,100.0000,36.0000,9.4146,0.9415,-172.5588,HIGH
completed,VALUE_ROTATION,3,3,-5,15,2,44.6379,44.6379,60.8063,28.4695,16.1684,100.0000,100.0000,100.0000,36.0000,9.4146,0.9415,-172.5588,HIGH
completed,VALUE_ROTATION,3,3,-10,7,2,44.6379,44.6379,60.8063,28.4695,16.1684,100.0000,100.0000,100.0000,36.0000,9.4146,0.9415,-172.5588,HIGH
completed,VALUE_ROTATION,3,3,-10,10,2,44.6379,44.6379,60.8063,28.4695,16.1684,100.0000,100.0000,100.0000,36.0000,9.4146,0.9415,-172.5588,HIGH
