buy_commission_pct,sell_commission_pct,platform_fee_pct,avg_organizer_margin_pct,org_profit_per_participant,avg_platform_revenue,avg_prize_pool,avg_first_prize,avg_winner_roi_pct,pct_above_0,platform_loss_risk_pct,is_sustainable,is_pareto_optimal,score_max_organizer,score_participant_welfare,score_winner_attractiveness,score_balanced
2,8,20,20,40.02,2000.85,8003.41,3201.37,6303,12,0,true,false,2000.85,12,8.7489,14.3872
2,8,25,25,50.02,2501.07,7503.2,3001.28,5903,12,0,true,false,2501.07,12,8.6833,16.3708
3,0.5,5,5,5.46,272.91,5185.24,2074.1,4048,12,0,true,false,272.91,12,8.3063,8.2766
3,0.5,10,10,10.92,545.82,4912.34,1964.93,3830,12,0,true,false,545.82,12,8.2508,10.2627
3,0.5,15,15,16.37,818.72,4639.43,1855.77,3612,12,0,true,false,818.72,12,8.1922,12.248
3,0.5,20,20,21.83,1091.63,4366.52,1746.61,3393,12,0,true,false,1091.63,12,8.1298,14.2325
3,0.5,25,25,27.29,1364.54,4093.61,1637.45,3175,12,0,true,false,1364.54,12,8.0633,16.2158
3,1.25,5,5,5.97,298.63,5673.91,2269.56,4439,12,0,true,false,298.63,12,8.3984,8.2996
3,1.25,10,10,11.95,597.25,5375.28,2150.11,4200,12,0,true,false,597.25,12,8.3431,10.2858
3,1.25,15,15,17.92,895.88,5076.66,2030.66,3961,12,0,true,false,895.88,12,8.2846,12.2711
3,1.25,20,20,23.89,1194.51,4778.03,1911.21,3722,12,0,true,false,1194.51,12,8.2224,14.2556
3,1.25,25,25,29.86,1493.13,4479.4,1791.76,3484,12,0,true,false,1493.13,12,8.1561,16.239
3,2,5,5,6.52,325.83,6190.75,2476.3,4853,12,0,true,false,325.83,12,8.4875,8.3219
3,2,10,10,13.03,651.66,5864.92,2345.97,4592,12,0,true,false,651.66,12,8.4323,10.3081
3,2,15,15,19.55,977.49,5539.09,2215.64,4331,12,0,true,false,977.49,12,8.3738,12.2935
3,2,20,20,26.07,1303.32,5213.27,2085.31,4071,12,0,true,false,1303.32,12,8.3118,14.2779
3,2,25,25,32.58,1629.15,4887.44,1954.97,3810,12,0,true,false,1629.15,12,8.2456,16.2614
3,5,5,5,8.67,433.61,8238.6,3295.44,6491,12,0,true,false,433.61,12,8.7783,8.3946
3,5,10,10,17.34,867.22,7804.99,3121.99,6144,12,0,true,false,867.22,12,8.7234,10.3808
3,5,15,15,26.02,1300.83,7371.38,2948.55,5797,12,0,true,false,1300.83,12,8.6653,12.3663
3,5,20,20,34.69,1734.44,6937.77,2775.11,5450,12,0,true,false,1734.44,12,8.6036,14.3509
3,5,25,25,43.36,2168.05,6504.16,2601.66,5103,12,0,true,false,2168.05,12,8.5378,16.3345
3,8,5,5,10.81,540.36,10266.8,4106.72,8113,12,0,true,false,540.36,12,9.0014,8.4504
3,8,10,10,21.61,1080.72,9726.44,3890.58,7681,12,0,true,false,1080.72,12,8.9467,10.4367
3,8,15,15,32.42,1621.07,9186.08,3674.43,7249,12,0,true,false,1621.07,12,8.8887,12.4222
3,8,20,20,43.23,2161.43,8645.73,3458.29,6817,12,0,true,false,2161.43,12,8.8273,14.4068
3,8,25,25,54.04,2701.79,8105.37,3242.15,6384,12,0,true,false,2701.79,12,8.7618,16.3904
5,0.5,5,5,7.14,356.82,6779.62,2711.85,5324,12,0,true,false,356.82,12,8.5801,8.345
5,0.5,10,10,14.27,713.64,6422.8,2569.12,5038,12,0,true,false,713.64,12,8.525,10.3313
5,0.5,15,15,21.41,1070.47,6065.97,2426.39,4753,12,0,true,false,1070.47,12,8.4667,12.3167
5,0.5,20,20,28.55,1427.29,5709.15,2283.66,4467,12,0,true,false,1427.29,12,8.4048,14.3012
5,0.5,25,25,35.68,1784.11,5352.33,2140.93,4182,12,0,true,false,1784.11,12,8.3388,16.2847
5,1.25,5,5,7.67,383.54,7287.25,2914.9,5730,12,0,true,false,383.54,12,8.6536,8.3634
5,1.25,10,10,15.34,767.08,6903.71,2761.49,5423,12,0,true,false,767.08,12,8.5986,10.3496
5,1.25,15,15,23.01,1150.62,6520.17,2608.07,5116,12,0,true,false,1150.62,12,8.5404,12.3351
5,1.25,20,20,30.68,1534.16,6136.63,2454.65,4809,12,0,true,false,1534.16,12,8.4785,14.3196
5,1.25,25,25,38.35,1917.7,5753.1,2301.24,4502,12,0,true,false,1917.7,12,8.4126,16.3032
5,2,5,5,8.19,409.74,7785.08,3114.03,6128,12,0,true,false,409.74,12,8.7208,8.3802
5,2,10,10,16.39,819.48,7375.34,2950.13,5800,12,0,true,false,819.48,12,8.6658,10.3665
5,2,15,15,24.58,1229.22,6965.6,2786.24,5472,12,0,true,false,1229.22,12,8.6077,12.3519
5,2,20,20,32.78,1638.96,6555.85,2622.34,5145,12,0,true,false,1638.96,12,8.5459,14.3365
